序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,涨停 2026.04.16,连续涨停天数(天) 2026.04.16,申万行业分类,涨停首次封板时间 2026.04.16,涨停封单额 2026.04.16,涨停封单量(股) 2026.04.16,首板 2026.04.16,东财行业总分类,概念,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16
1,002580,圣阳股份,SZ,27.80,10.01,涨停,6,电力设备-电池-蓄电池及其他电池,09:37:24,2.21亿,794.52万,-,电力设备-电池-蓄电池及其他电池,钠离子电池、鸿蒙概念、东数西算、5G概念、新疆振兴、华为概念、最近多板、UPS供电、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、央国企改革、百日新高 、动力电池回收、军工、雄安新区、融资融券、液冷概念、深股通、近期新高、快手概念、新能源、数据中心、光伏概念、历史新高 、锂电池概念、抖音概念(字节概念)、高铁、昨日打二板以上表现,2.530,27.80,26.26,14.82,0.49,6703.89万,18.31亿,19.70,5.4220,126.18亿,125.75亿
2,002297,博云新材,SZ,16.08,9.99,涨停,4,国防军工-航空装备Ⅱ-航空装备Ⅲ,09:25:00,2.31亿,1436.38万,-,国防军工-航空装备Ⅱ-航空装备Ⅲ,军工、大飞机、培育钻石、航空发动机、融资融券、航天航空、近期新高、无人机、商业航天、军民融合、最近多板、东方财富热股、运营维修、新材料、央国企改革、百日新高 、碳纤维、通用航空、小金属概念、昨日打二板以上表现、成飞概念,1.460,16.08,15.93,22.64,9.05,1.30亿,20.86亿,37.25,4.3319,92.16亿,92.16亿
3,000004,*ST国华,SZ,3.64,4.90,涨停,3,计算机-软件开发-横向通用软件,09:25:00,1444.50万,396.84万,-,计算机-软件开发-横向通用软件,数据安全、粤港澳大湾区、5G概念、车联网(车路云)、鸿蒙概念、东数西算、工业互联、网络游戏、深圳特区、网络安全、华为概念、最近多板、通信技术、信创、电力物联网、互联网金融、人工智能、抖音概念(字节概念)、手机游戏、物联网、人脸识别、超跌股、破增发价股、云计算,0.170,3.64,3.64,0.58,0.09,72.81万,265.03万,-4.45,13.0418,4.82亿,4.60亿
4,002990,盛视科技,SZ,46.32,10.00,涨停,3,计算机-计算机设备-其他计算机设备,09:44:39,4358.28万,94.09万,-,计算机-计算机设备-其他计算机设备,国产芯片、多模态AI、车联网(车路云)、鸿蒙概念、昨日高振幅、数字经济、深圳特区、存储芯片、华为概念、最近多板、东方财富热股、昨日高换手、信创、华为昇腾、百日新高 、DeepSeek概念、人工智能、无人驾驶、物联网、人脸识别、机器人概念、智慧政务、安防概念、医疗器械概念、深股通、近期新高、AIGC概念、智慧城市、网络安全、核污染防治、机器视觉、人形机器人、一带一路、星闪概念、语音技术、传感器、冷链物流、电子后视镜,4.210,46.32,42.07,17.63,1.25,2394.53万,10.81亿,35.54,4.8719,121.29亿,62.90亿
5,688287,*ST观典,SH,2.35,19.90,涨停,3,国防军工-航空装备Ⅱ-航空装备Ⅲ,14:44:53,108.76万,46.28万,-,国防军工-航空装备Ⅱ-航空装备Ⅲ,军工、安防概念、专精特新、低空经济、航天航空、无人机、破发股、低价股、商业航天、智慧城市、军民融合、最近多板、火箭回收、人工智能、大数据、超跌股,0.390,2.35,2.05,17.24,2.53,6387.70万,1.43亿,-3.02,1.3934,8.71亿,8.71亿
6,002033,丽江股份,SZ,10.93,9.96,涨停,2,社会服务-旅游及景区-自然景区,13:09:06,5607.98万,513.08万,-,社会服务-旅游及景区-自然景区,融资融券、西部大开发、昨日高振幅、深股通、近期新高、昨日首板、高股息精选、旅游酒店、旅游概念、最近多板、东方财富热股、冰雪经济、户外露营、百日新高 、谷子经济、文娱消费,0.990,10.93,9.81,19.49,4.14,1.07亿,11.04亿,7.03,2.3470,60.06亿,60.06亿
7,002468,申通快递,SZ,18.03,10.01,涨停,2,交通运输-物流-快递,09:33:54,3943.36万,218.71万,-,交通运输-物流-快递,融资融券、乡村振兴、数字经济、深股通、近期新高、无人配送、昨日首板、参股保险、标准普尔、深成500、最近多板、东方财富热股、小盘股、智能家居、百日新高 、人工智能、统一大市场、富时罗素、阿里概念、长江三角、智能物流、大数据、快递概念,1.640,18.03,17.20,8.75,6.36,1.28亿,23.08亿,9.13,2.5270,276.00亿,264.54亿
8,600683,京投发展,SH,10.90,9.99,涨停,2,房地产-房地产开发-住宅开发,09:31:05,6304.51万,578.40万,-,房地产-房地产开发-住宅开发,昨日高振幅、北交所概念、昨日首板、旅游概念、养老概念、最近多板、特色小镇、东方财富热股、创投、土地流转、京津冀一体化、央国企改革、长江三角,0.990,10.90,10.20,3.28,1.09,2428.46万,2.62亿,-5.40,-62.4451,80.74亿,80.74亿
9,603268,*ST松发,SH,121.22,5.00,涨停,2,国防军工-航海装备Ⅱ-航海装备Ⅲ,09:46:37,7136.22万,58.87万,-,国防军工-航海装备Ⅱ-航海装备Ⅲ,跨境电商、船舶制造、海工装备、昨日首板、贬值受益、在线教育、高端装备、最近多板,5.770,121.22,117.50,1.87,0.71,436.01万,5.23亿,11.08,12.4499,1176.78亿,282.75亿
10,603687,大胜达,SH,19.84,9.98,涨停,2,轻工制造-包装印刷-纸包装,09:31:56,2642.29万,133.18万,-,轻工制造-包装印刷-纸包装,国产芯片、共同富裕示范区、烟草、海南自贸、钙钛矿设备、钙钛矿电池、工业互联、最近多板、东方财富热股、百日新高 、DeepSeek概念、人工智能、富时罗素、物联网、包装材料、数字孪生、数字水印、虚拟机器人、近期新高、昨日首板、AIGC概念、包装、ChatGPT概念、光伏概念、娃哈哈概念、锂电池概念,1.800,19.84,18.66,28.77,2.29,1.58亿,31.22亿,30.00,3.3483,109.13亿,109.13亿
11,605081,*ST太和,SH,7.23,4.93,涨停,2,环保-环境治理-水务及水治理,09:25:00,796.96万,110.23万,-,环保-环境治理-水务及水治理,污水处理、雄安新区、东数西算、乡村振兴、昨日首板、破发股、节能环保、最近多板,0.340,7.23,7.23,0.89,0.31,100.72万,728.21万,-2.48,0.9178,8.19亿,8.19亿
12,605388,均瑶健康,SH,8.06,9.96,涨停,2,食品饮料-饮料乳品-乳品,10:00:42,5246.03万,650.87万,-,食品饮料-饮料乳品-乳品,味蕾经济、昨日高振幅、近期新高、昨日首板、破发股、乳业、最近多板、东方财富热股、跨境电商、三胎概念、饮料制造、病原体防治、白酒、婴童概念、幽门螺杆菌概念,0.730,8.06,7.09,9.96,4.10,5978.26万,4.64亿,-510.79,2.8210,48.40亿,48.40亿
